ID	beta.est	B_IN_beta	B_Mem_beta	Plasma_beta	CD4_ET_beta	CD4_NC_beta	CD4_SOX4_beta	CD8_ET_beta	CD8_NC_beta	CD8_S100B_beta	DC1_beta	Mono_C_beta	Mono_NC_beta	NK_beta	NK_R_beta
ENSGEXAMPLE001-rs000001	-0.134981448828798	-0.063724521724935	0.0479627686690427	-0.0494372873442789	0.072997081787787	-0.366219764816815	-0.233983298022783	-0.0186208045391231	-0.258274503386558	0.0707166871394646	-0.439352911866435	0.179356108019164	-0.335420203830473	0.180853731099954	0.115560649636696
ENSGEXAMPLE002-rs000002	0.0829699462368618	0.105766991007069	0.2238560685019	-0.200547867394435	0.476569784144807	0.137064797052637	0.105008907613944	-0.35009213342737	0.187193376411013	-0.00838903009950367	0.151592095856581	0.272045674309999	0.0280683729095473	-0.00934929225945257	0.0763628112162935
ENSGEXAMPLE003-rs000003	-0.0073175904381561	-0.0178809003302507	-0.14228515439846	-0.0752676822183028	-0.143610843126966	0.196681933980144	-0.205836030421334	-0.0928832956892608	0.209485082410884	-0.212508939336591	-0.133881604291335	-0.287442630840501	-0.0988606416502652	0.121184791317921	0.200133363987115
ENSGEXAMPLE004-rs000004	-0.0278263334957679	0.0239943254578555	-0.318296784553252	0.252517514894938	-0.204361648144784	0.0977004509691462	0.223694971573066	-0.194434909045203	-0.0273418403580897	-0.151312412426111	0.0246181822481051	-0.153199554884124	-0.117998964932284	0.053954382999368	-0.0935395087887759
ENSGEXAMPLE005-rs000005	-0.0940342580965086	-0.239605937953141	-0.387087054828175	-0.196837031508521	0.0103362210307412	0.0787249801346986	0.0281017527079374	-0.129333389611531	0.177572596947237	0.194149805677482	-0.0382414226181576	-0.0297835848628984	0.0121905981814344	0.153577956952613	0.14966443576994
ENSGEXAMPLE006-rs000006	-0.0194961115417148	-0.253730255941455	0.118091437647815	0.189050098239158	-0.144389237834968	-0.0553002455848133	-0.0850181906795032	0.273243481761444	0.0931498347677834	-0.045268919330744	-0.107901051785099	-0.0643236230379511	-0.30302627540005	-0.109297730949104	0.0381645663953549
ENSGEXAMPLE007-rs000007	-0.0787645072066247	0.323733464780327	0.0104610166963942	0.000543833003883474	-0.388292225457808	-0.150093651490774	0.0491840489436294	-0.520709215937773	-0.0669056630650168	0.352654845405406	-0.124762412622172	-0.202619650037614	0.179508172694929	-0.135901369929916	-0.323979763667155
ENSGEXAMPLE008-rs000008	0.116190098438627	0.269386841605169	-0.0743768951236493	-0.120704172789565	0.0567341096982271	0.182167029406642	0.11100340351396	-0.104138613111549	0.164606832305435	0.145981675472088	0.153668208005199	-0.114800943996789	0.437943770785006	0.199635073095098	-0.201461586533578
ENSGEXAMPLE009-rs000009	0.0901063618077407	0.218267399445985	0.0908923790203228	-0.246273083235796	0.0116987622926756	0.170389602914776	0.132344185754214	-0.0387639392409002	0.0788822088700296	0.247074438417036	0.0207113794221256	-0.142473525273352	-0.158026346407014	0.124609708591145	0.047404700876409
ENSGEXAMPLE010-rs000010	-0.0346857928201676	-0.0834250660903706	-0.132518120194691	0.0468356393276419	0.171773204435911	-0.116518567416367	-0.0802638054056636	-0.319399716937014	-0.141995978856454	8.42463032770847e-05	0.0345302215290676	0.320165429642401	-0.269006031366248	-0.080558963022567	0.00205921427126562
ENSGEXAMPLE011-rs000011	-0.0181296927364031	-0.161805919974647	0.0736636705768109	0.028413378958385	-0.054897029174868	0.0573022390404273	0.332416359764412	0.0710923272677043	0.020000801462398	-0.159290191854506	0.0253334413988556	-0.109601326806451	-0.132804468633637	0.188697809868195	-0.0781147016833272
ENSGEXAMPLE012-rs000012	-0.0502854798489425	0.0166660284944187	-0.0765662735946572	-0.103185479213539	-0.0151712362586286	-0.0284329914140333	-0.142878210291998	0.3245834623786	-0.471697433475915	-0.0137159391619902	0.133982354723684	-0.212304459104016	0.0666863042655269	-0.180432493136589	0.310538944144869
ENSGEXAMPLE013-rs000013	0.0381635099084261	-0.1612574033926	0.0566611344310012	0.111256369268578	0.174481740718132	-0.0268021353431381	0.0622860790310496	0.117489124881543	0.00557109849927366	-0.158749644627554	-0.267993712952625	-0.398034822930449	0.0726457778238942	0.314934466408656	0.152530838938872
ENSGEXAMPLE014-rs000014	0.0520858131029588	0.020517614737396	-0.145105532767699	-0.106477622771608	-0.12618328896795	0.279929990178624	0.123299908353274	0.0344629820170994	-0.339043778736344	0.113444711892803	-0.0493075731734607	0.231632453096506	-0.0260036736226792	0.389504335520104	0.0286296702988856
ENSGEXAMPLE015-rs000015	0.00829659684801934	0.03307205274058	0.0212338265296155	0.194780175308869	0.271091000482121	-0.0398061888340791	-0.127478857435469	0.02367356136172	-0.0266568722469361	-0.0603722194514816	0.101118468539566	0.0380810646348079	0.432822039274621	-0.317664720979534	-0.484258304071208
ENSGEXAMPLE016-rs000016	-0.0805705120540342	-0.0362224946313014	-0.000444891554010984	0.0249259580409532	0.0778569779524219	-0.219805415085301	0.269692917190609	-0.117033861354395	-0.0481820832638616	0.0316618484706112	-0.126661919857113	-0.411832000285852	-0.140924970812288	-0.241287657070398	0.156690992350587
ENSGEXAMPLE017-rs000017	0.019957377669646	0.321708656501624	0.0217667659460249	-0.078332412516468	-0.223684856315613	0.0672394958353844	0.0438914310435885	0.134456665331987	0.111637411923577	0.164057234531967	-0.131292540125346	0.0603400831267633	-0.282984414781974	0.0960576502637504	0.172819897754442
ENSGEXAMPLE018-rs000018	-0.0157515808469098	0.273620367095035	-0.0510185965742125	-0.137147599204038	0.0826364253063381	-0.150985758742302	-0.0438229120821481	0.160472943773702	-0.13858012154964	-0.0336544835699689	0.0950335160257176	-0.113379411633393	0.127284557444825	0.0618931102617742	-0.0920489522868902
ENSGEXAMPLE019-rs000019	0.00289952734210622	0.307243982795948	-0.00816289357202322	0.247568799823175	-0.0310165978557395	0.0203410325637131	-0.0962302299710647	0.0142315406835685	-0.10037873174728	0.150511435114089	0.19611496875778	0.0504954759309146	0.0540210217763303	0.144185612585131	-0.18752320325859
ENSGEXAMPLE020-rs000020	0.0159788657215506	-0.0925084401171891	0.168842982237565	-0.0657403554028268	-0.197996143863888	0.237728632046255	0.211660058577058	-0.0146837338813976	0.11269773526323	-0.289670496994962	-0.0341816245368072	0.118413876560153	0.0157840274166642	0.247285943088535	-0.085120500147714
