ID	sex	B_IN	B_Mem	Plasma	CD4_ET	CD4_NC	CD4_SOX4	CD8_ET	CD8_NC	CD8_S100B	DC1	Mono_C	Mono_NC	NK	NK_R
ENSGEXAMPLE001-rs000001	female	-0.0685729525259876	0.0802701672429437	-0.00707454007344221	0.0276617875433683	-0.371731710778891	-0.25169762443597	0.0252263387167113	-0.307588667824767	0.0786164795892561	-0.471350347224098	0.2066932032378	-0.352301925750342	0.221240317879834	0.147446057997629
ENSGEXAMPLE002-rs000002	female	0.183670739558384	0.20030166842223	-0.238703107352468	0.468638402091571	0.135010385919202	0.0697980964663426	-0.309944504221106	0.242052840387116	-0.0681058100751469	0.167216568825232	0.337287558882052	0.0728624157101587	-0.0318778125040673	0.0718739464666693
ENSGEXAMPLE003-rs000003	female	-0.089428326881578	-0.16310234663156	-0.0441931844495525	-0.163103925143188	0.209885414931944	-0.29603334489908	-0.0776313680982827	0.181716675405873	-0.159196036264534	-0.115397138529318	-0.292783427242111	-0.0641050487076982	0.112905558657721	0.20232539972807
ENSGEXAMPLE004-rs000004	female	-0.0457494471008138	-0.29788746723476	0.233879495063333	-0.23760422487881	0.131099905526082	0.233939323272673	-0.213201079420482	-0.0516424117059028	-0.160080290277877	-0.00918414746284857	-0.167251290526359	-0.120375014925154	0.006617826426648	-0.105298377457239
ENSGEXAMPLE005-rs000005	female	-0.234209443520088	-0.388335834963438	-0.240439010273123	0.0425790407326387	0.0382120593976693	0.0556046854933942	-0.097930253108873	0.141328526926146	0.294281811561707	-0.118885937073324	-0.00677355244841197	0.0286883586379425	0.173535054202829	0.146743911520227
ENSGEXAMPLE006-rs000006	female	-0.260548791045132	0.138457940592606	0.145277291096568	-0.129289619668179	-0.0398859848361846	-0.0236783894970702	0.225225790250617	0.070224220579904	-0.0119166459020482	-0.104090221887439	-0.0595654550200906	-0.336432245060094	-0.119387829504317	0.0531688367405503
ENSGEXAMPLE007-rs000007	female	0.282145642525991	-0.00402184615082704	0.000174160763046339	-0.313058231283967	-0.153261978710858	0.0489852732787569	-0.499690578749437	-0.0471671736252706	0.405793792497907	-0.13596148350028	-0.187074045016363	0.131263306195775	-0.100413932655088	-0.320150280516246
ENSGEXAMPLE008-rs000008	female	0.302906786843422	-0.125017759817323	-0.142005642369092	0.0268708674126237	0.200160600845791	0.103520780139935	-0.144003640794769	0.164208023855726	0.13808954386145	0.216134535983884	-0.207641375472933	0.51520772127195	0.221394957502138	-0.176019976705955
ENSGEXAMPLE009-rs000009	female	0.235692346178938	0.0972830365243918	-0.22883455334925	-0.0383302906883125	0.218369645837333	0.1752554166165	-0.0401658781019649	0.0848390790304458	0.241994414715729	0.082770979931971	-0.166017854663288	-0.0706501057475074	0.0906400260912906	-0.015698381659957
ENSGEXAMPLE010-rs000010	female	-0.0491077012484227	-0.0927325998359335	-0.00079571255311861	0.221512305851848	-0.14118575941103	-0.0894133594882231	-0.2806767803635	-0.145555294542042	0.028355258269977	0.0580572303417121	0.304637600679217	-0.267571998502168	-0.0819504631595154	0.0497494868847138
ENSGEXAMPLE011-rs000011	female	-0.189647073488092	0.095269433668077	0.0450113614856995	-0.0390998951632591	0.0541139094023298	0.372983286526353	0.0491221404790988	0.035405720004629	-0.143142357823474	0.00481881297655337	-0.113534080269213	-0.11662207593627	0.200500916372698	0.0258358175839384
